Frame,Person,Keypoint_Index,Keypoint_X,Keypoint_Y
0,0,0,720.61835,168.94218
0,0,1,0.0,0.0
0,0,2,705.7872,151.85332
0,0,3,0.0,0.0
0,0,4,662.4418,149.51399
0,0,5,682.51025,227.33282
0,0,6,620.8763,221.79512
0,0,7,750.9009,168.52324
0,0,8,706.3068,159.08951
0,0,9,821.9777,66.85513
0,0,10,809.7673,64.99132
0,0,11,703.43787,479.05173
0,0,12,654.5779,482.25302
0,0,13,685.1601,644.19116
0,0,14,635.53656,643.6132
0,0,15,674.84106,786.0855
0,0,16,604.5267,831.6207
1,0,0,720.60803,168.91504
1,0,1,0.0,0.0
1,0,2,705.76855,151.8198
1,0,3,0.0,0.0
1,0,4,662.425,149.47353
1,0,5,682.4835,227.30733
1,0,6,620.8387,221.83105
1,0,7,750.81274,168.46944
1,0,8,706.25916,159.13316
1,0,9,821.9632,66.868355
1,0,10,809.74646,65.00626
1,0,11,703.49884,479.08246
1,0,12,654.63556,482.31134
1,0,13,685.12115,644.16785
1,0,14,635.53076,643.6156
1,0,15,674.83704,786.0491
1,0,16,604.5317,831.7108
2,0,0,722.0195,171.73276
2,0,1,728.7669,159.82042
2,0,2,707.3322,153.58875
2,0,3,0.0,0.0
2,0,4,662.1348,149.75464
2,0,5,686.04266,229.33246
2,0,6,616.05005,220.90031
2,0,7,750.33203,168.92244
2,0,8,704.38055,161.98308
2,0,9,819.29517,67.71778
2,0,10,804.9115,66.54348
2,0,11,707.6518,477.9712
2,0,12,654.5539,480.61856
2,0,13,683.7482,645.078
2,0,14,635.43677,645.0559
2,0,15,675.369,804.5925
2,0,16,608.137,840.40796
3,0,0,721.80524,170.62724
3,0,1,0.0,0.0
3,0,2,706.9367,153.16873
3,0,3,0.0,0.0
3,0,4,662.8454,149.76157
3,0,5,683.08997,227.17772
3,0,6,621.2048,220.59592
3,0,7,751.0098,167.17365
3,0,8,706.50433,155.61438
3,0,9,818.94086,66.28252
3,0,10,807.62317,63.440117
3,0,11,703.7995,479.199
3,0,12,654.68054,482.02112
3,0,13,684.1978,644.2038
3,0,14,634.9462,643.7311
3,0,15,674.57996,786.42267
3,0,16,604.59875,832.20996
4,0,0,720.5279,169.45139
4,0,1,0.0,0.0
4,0,2,705.216,152.37253
4,0,3,0.0,0.0
4,0,4,660.8455,150.30344
4,0,5,682.511,227.19621
4,0,6,621.2931,221.36696
4,0,7,749.79193,166.82622
4,0,8,706.50586,155.24849
4,0,9,817.48865,65.41679
4,0,10,806.6345,62.55423
4,0,11,703.69244,479.38394
4,0,12,654.9666,482.3312
4,0,13,684.34845,643.97284
4,0,14,635.0396,643.5504
4,0,15,674.2371,786.40375
4,0,16,604.35077,831.612
5,0,0,719.28406,173.15007
5,0,1,725.8803,160.90086
5,0,2,705.091,155.38522
5,0,3,0.0,0.0
5,0,4,660.7377,150.02174
5,0,5,681.85144,226.56427
5,0,6,619.6301,220.26367
5,0,7,751.85016,168.29576
5,0,8,702.9652,156.67165
5,0,9,818.9609,65.52432
5,0,10,806.5155,62.64869
5,0,11,705.6138,480.44525
5,0,12,656.07477,483.2894
5,0,13,684.2954,648.6669
5,0,14,633.7108,648.51385
5,0,15,676.2368,786.94196
5,0,16,603.88403,832.83276
6,0,0,718.9037,169.60255
6,0,1,725.0376,157.38301
6,0,2,704.0951,152.04692
6,0,3,0.0,0.0
6,0,4,658.60876,148.84285
6,0,5,680.5384,226.86311
6,0,6,619.16406,221.57474
6,0,7,749.40906,166.98015
6,0,8,702.48846,156.02802
6,0,9,817.3763,63.6484
6,0,10,805.55804,61.367065
6,0,11,705.06854,481.2083
6,0,12,655.8428,484.14368
6,0,13,684.32104,648.71515
6,0,14,633.8829,648.38086
6,0,15,676.4619,786.7097
6,0,16,603.7224,832.2981
7,0,0,718.8695,169.51222
7,0,1,725.01843,157.30202
7,0,2,704.06433,151.94493
7,0,3,0.0,0.0
7,0,4,658.62274,148.76645
7,0,5,680.3412,226.80786
7,0,6,619.2249,221.59695
7,0,7,749.1109,167.0226
7,0,8,702.6999,156.51187
7,0,9,817.2841,63.572514
7,0,10,805.60126,61.61522
7,0,11,704.95026,481.12585
7,0,12,655.88983,484.10416
7,0,13,684.2313,648.64233
7,0,14,633.9471,648.3095
7,0,15,676.46686,786.68665
7,0,16,603.7575,832.1963
8,0,0,718.8808,170.54733
8,0,1,725.1851,158.32343
8,0,2,704.1415,152.78906
8,0,3,0.0,0.0
8,0,4,658.0401,149.12666
8,0,5,680.815,227.1175
8,0,6,617.9773,222.58023
8,0,7,749.50134,168.1124
8,0,8,701.6555,159.62878
8,0,9,815.13885,65.8765
8,0,10,802.9214,64.30513
8,0,11,706.3523,480.30624
8,0,12,656.1479,483.53696
8,0,13,684.93,648.0575
8,0,14,634.38776,648.11523
8,0,15,677.65796,786.06006
8,0,16,603.9335,832.13873
9,0,0,721.36017,172.12616
9,0,1,725.6322,158.03802
9,0,2,707.47235,155.41722
9,0,3,0.0,0.0
9,0,4,655.45306,154.48045
9,0,5,681.00604,219.39482
9,0,6,614.6323,217.0627
9,0,7,752.53394,166.39417
9,0,8,693.0141,167.96855
9,0,9,827.15576,68.35712
9,0,10,804.1875,61.92833
9,0,11,703.34515,474.74316
9,0,12,652.98737,481.24918
9,0,13,686.3443,640.89984
9,0,14,631.6592,652.741
9,0,15,676.59247,792.5583
9,0,16,607.21014,836.2099
10,0,0,721.3318,171.60417
10,0,1,725.60126,157.50977
10,0,2,707.2202,154.98903
10,0,3,0.0,0.0
10,0,4,655.019,154.50746
10,0,5,680.86755,219.29008
10,0,6,614.9584,217.21179
10,0,7,751.6177,165.95622
10,0,8,694.3178,167.58318
10,0,9,826.6782,68.34334
10,0,10,804.8769,62.162384
10,0,11,703.2118,475.14706
10,0,12,653.0097,481.7323
10,0,13,686.172,641.06195
10,0,14,631.70764,653.0922
10,0,15,676.50006,792.4574
10,0,16,607.1962,836.16156
11,0,0,721.3034,171.12238
11,0,1,725.49396,157.08179
11,0,2,707.2032,154.59096
11,0,3,0.0,0.0
11,0,4,654.9634,154.41847
11,0,5,680.7246,219.03925
11,0,6,615.0577,217.40494
11,0,7,751.3198,165.91614
11,0,8,694.91364,168.11134
11,0,9,826.1851,68.75125
11,0,10,804.90894,61.874817
11,0,11,703.0154,475.31473
11,0,12,652.91724,482.0984
11,0,13,686.07367,641.16626
11,0,14,631.84644,653.5239
11,0,15,676.57214,792.3206
11,0,16,607.241,835.87286
12,0,0,720.14923,173.88539
12,0,1,725.86884,160.27745
12,0,2,706.2524,156.36691
12,0,3,0.0,0.0
12,0,4,658.4492,153.30977
12,0,5,684.33594,226.79118
12,0,6,613.0244,221.6836
12,0,7,752.1131,163.93391
