Frame,Smoothness,MSJ,Var
3,0.9999999999999991,139070980000.0,6.690521704695266e-27
4,7.008349383816607e-08,132785960000.0,0.00010745634330408459
5,9.87676369902974e-08,93970790000.0,0.00010774382875205882
6,1.3615150805890347e-07,72021795000.0,0.00010197965650011116
7,1.734431814198632e-07,59341720000.0,9.715889163753184e-05
8,2.4407974170247435e-07,51237245000.0,7.996176829534586e-05
9,2.7463481321260655e-07,54420810000.0,6.690818925383942e-05
10,2.9855247894001104e-07,54853530000.0,6.106250419425841e-05
11,5.630440408959099e-07,49554022000.0,3.5840864480259596e-05
12,5.627073279680446e-07,52327604000.0,3.3961458522647025e-05
13,4.595820494667241e-07,74007290000.0,2.940100948887295e-05
14,4.864085478758688e-07,74054620000.0,2.776172281056432e-05
15,5.265777339386133e-07,68447850000.0,2.7744535980543152e-05
16,5.500246442223057e-07,64478640000.0,2.8196925485194414e-05
17,5.792415850056643e-07,61936970000.0,2.787340641554786e-05
18,6.677987878764876e-07,59090120000.0,2.534190195985372e-05
19,7.488402467279524e-07,56200870000.0,2.376114932167213e-05
20,7.761078760680198e-07,53181805000.0,2.4227829160943363e-05
21,7.289792025802467e-07,51374965000.0,2.6701337016246975e-05
22,7.628116775229232e-07,48934940000.0,2.6789417450614495e-05
23,7.897251882262598e-07,47187767000.0,2.6834545127200464e-05
24,8.334498996137619e-07,45693813000.0,2.625806638120943e-05
25,9.244892726318989e-07,44194740000.0,2.4475251151982836e-05
26,1.4048273825350261e-06,42482920000.0,1.6755679758810653e-05
27,1.0803946940738033e-06,40802370000.0,2.2684630170274336e-05
28,1.0863161405598657e-06,40869420000.0,2.252396325574761e-05
29,1.0706869838260548e-06,51623416000.0,1.8092153945190717e-05
30,4.907362696076596e-07,85194630000.0,2.391880140874499e-05
31,3.528385397704147e-07,127974940000.0,2.214618348520431e-05
32,2.3701832805187673e-07,152847000000.0,2.7603301289946676e-05
33,2.769016804238993e-07,154645900000.0,2.335263346374221e-05
34,1.9334397378201528e-07,166104190000.0,3.113785529912581e-05
35,1.920409761910553e-07,200436470000.0,2.5979409499839575e-05
36,1.6718350470581405e-07,201069770000.0,2.9748133034527334e-05
37,8.081171079375468e-08,400664850000.0,3.088477311361187e-05
38,3.80781845264527e-08,1068989200000.0,2.4566903739759672e-05
39,2.4145896956027896e-08,1238877300000.0,3.3429381175371846e-05
40,2.3789484290225014e-08,1262104600000.0,3.33057800419335e-05
41,2.410532789813243e-08,1304846400000.0,3.179271038484544e-05
42,2.3080015478250995e-08,1351156500000.0,3.2066993215928015e-05
43,1.808872701991026e-08,1632100300000.0,3.387233581362891e-05
44,2.217869905762277e-08,2504619200000.0,1.8002060523430727e-05
45,9.692098978312272e-09,3281344800000.0,3.1443457048615646e-05
46,8.903665333611479e-09,3451482000000.0,3.254059981863511e-05
47,8.987928076157491e-09,3488512200000.0,3.1893351546225345e-05
48,9.141225239694339e-09,3507070400000.0,3.1192565641744275e-05
49,8.694365974181219e-09,3655633000000.0,3.146295408579144e-05
50,8.767348763420163e-09,3702248200000.0,3.080819007943096e-05
51,8.996938589230932e-09,3720999900000.0,2.9870712787016876e-05
52,9.066325839170074e-09,3755231000000.0,2.937189914287302e-05
53,8.892228654043893e-09,3971017000000.0,2.8319632900988106e-05
54,8.107313518988998e-09,4392760400000.0,2.8079250745719798e-05
55,5.027549913022128e-09,7364046000000.0,2.7010157484057208e-05
56,3.878036994214852e-09,11331475000000.0,2.2756296965374187e-05
57,3.1400665894557857e-09,12789324000000.0,2.490081401743842e-05
58,3.046359771616451e-09,12775482000000.0,2.569457950592001e-05
59,3.0004789088232705e-09,12955661000000.0,2.5724672227913857e-05
60,3.040228906404231e-09,13024014000000.0,2.525508578548599e-05
61,3.1180843491371784e-09,13027373000000.0,2.4618143146392777e-05
62,3.2060588200435785e-09,13172073000000.0,2.3679600653126553e-05
63,3.3090098540941465e-09,13254639000000.0,2.2799956945383225e-05
64,3.1198032836478575e-09,13062835000000.0,2.453778489162089e-05
65,2.9856528647606033e-09,12401266000000.0,2.7008138949975542e-05
66,3.0978181735217e-09,12229717000000.0,2.6395364762356554e-05
67,3.043608539660865e-09,12324455000000.0,2.6658977528349124e-05
68,3.2382177826538874e-09,12587827000000.0,2.4532578140247375e-05
69,3.5467131852845043e-09,12733398000000.0,2.214265034255138e-05
70,3.48372569330245e-09,12523549000000.0,2.2920739679582593e-05
71,3.301921533834948e-09,11656092000000.0,2.598245995422077e-05
72,3.354689341760734e-09,10913926000000.0,2.731282873077123e-05
73,3.3457643950946246e-09,10817290000000.0,2.7630335327189615e-05
74,3.449031308577251e-09,10816129000000.0,2.6805938793584736e-05
75,3.4134145310959103e-09,10801439000000.0,2.7122476793390138e-05
76,3.3485858847046677e-09,10664604000000.0,2.800230744458958e-05
77,3.4157201246810076e-09,10621365000000.0,2.7563691895414372e-05
78,3.5234270739541976e-09,10602293000000.0,2.6769168974470494e-05
79,3.5565229004642577e-09,10574387000000.0,2.659005288021219e-05
80,3.6840866119479804e-09,10371304000000.0,2.6171994077586327e-05
81,4.017068074325481e-09,9949807000000.0,2.5019358373895642e-05
82,6.274624414194177e-09,6987985700000.0,2.280658467300814e-05
83,1.6499829423241847e-08,3009641200000.0,2.0137512223559497e-05
84,4.252337825247619e-08,1515575700000.0,1.551652934022209e-05
85,4.150346786681627e-08,1484328400000.0,1.6232506967471624e-05
86,4.600844801203274e-08,1280459100000.0,1.6974487475704443e-05
87,4.6910939042169005e-08,1210707100000.0,1.7607056984566618e-05
