Frame,Smoothness,MSJ,Var,DCR,Coordination_Index
30,1.1264541953745856e-07,537892360000.0,1.650406941546491e-05,0.0391453726186405,1.0
31,1.1165587732903428e-07,537945150000.0,1.664870164517627e-05,0.0120479818864358,1.0
32,1.0809926291597198e-07,536809930000.0,1.7232832980044496e-05,0.0314555803687122,1.0
33,1.0310064199443939e-07,538199460000.0,1.8021682316243276e-05,0.0645422337616828,1.0
34,1.0481113191036807e-07,551779100000.0,1.7291285893299287e-05,0.0654870233437319,1.0
35,1.1969541941108526e-07,565279460000.0,1.4779482038650446e-05,0.0510855683329843,1.0
36,1.255727338762257e-07,591455850000.0,1.3464253101428638e-05,0.0464153634615644,1.0
37,1.552216049360948e-07,613722000000.0,1.049726231980801e-05,0.0456585029899431,1.0
38,1.5595819743531937e-07,605850570000.0,1.0583424278092934e-05,0.0860169241179678,1.0
39,1.0250419584394057e-07,579440200000.0,1.6836417243534583e-05,0.0810721686771031,1.0
40,1.1173720493336144e-07,551379800000.0,1.6231225060975964e-05,0.081024129714974,1.0
41,1.0712379449256429e-07,552362700000.0,1.6900114933060913e-05,0.0642714011219127,1.0
42,1.1081056402962509e-07,544441760000.0,1.6575527402618166e-05,0.0790470345574238,1.0
43,1.2722388484837518e-07,545719600000.0,1.440329074449794e-05,0.078654001164983,1.0
44,9.520008140375148e-08,497270980000.0,2.1123677247140043e-05,0.0950806073292474,1.0
45,9.332287263576253e-08,440395400000.0,2.433151144294072e-05,0.1054151234892056,1.0
46,1.0185625944174449e-07,403702550000.0,2.431928172423847e-05,0.1051290565513197,1.0
47,1.0204302993636849e-07,404686340000.0,2.421575783160426e-05,0.1227194743697906,1.0
48,1.0638744777807924e-07,398985660000.0,2.355875188437826e-05,0.1017599539071243,1.0
49,1.1747838985685737e-07,372795200000.0,2.2833455367497083e-05,0.1235637744457703,1.0
50,1.3945931450213797e-07,310627570000.0,2.3084072000433594e-05,0.1075611163022299,1.0
51,1.4578610065476864e-07,367058650000.0,1.8687377326624243e-05,0.0488004159126498,1.0
52,1.6444252964002037e-07,451668280000.0,1.346375463865758e-05,0.0484322813820251,1.0
53,1.0090379721349332e-07,538729680000.0,1.8395921439459645e-05,0.0234116350122159,1.0
54,1.1172828520323777e-07,557733000000.0,1.6047614636627666e-05,0.0225230534182503,1.0
55,9.512209127877813e-08,546936800000.0,1.9221240431104765e-05,0.1095502436414114,1.0
56,6.617434239270879e-08,638344560000.0,2.36731023067569e-05,0.0563241035206576,0.5
57,7.551766395348431e-08,678781800000.0,1.9508381669786494e-05,0.0724600917163028,0.5
58,5.89505960387913e-08,871003600000.0,1.9475644142574985e-05,0.0720722496344598,0.5
59,1.5894600176048912e-08,1902115300000.0,3.3076043039392064e-05,0.0264877739552723,0.5
60,1.2635471430590984e-08,2559242100000.0,3.092410690437926e-05,0.2768583887776829,0.5
61,1.3408835440876596e-08,2552205000000.0,2.9220887178503037e-05,0.0,0.5
62,1.0748159285495096e-08,2581220800000.0,3.604464413191276e-05,0.3775260031006293,0.5
63,1.6969364693141346e-08,2662354600000.0,2.213443814749488e-05,0.3220272720847221,0.5
64,9.883426723484e-09,2828078400000.0,3.577675951623101e-05,0.3207591123938946,0.5
65,1.2243403038689171e-08,3525196000000.0,2.3169388139387795e-05,0.5485734908358375,0.5
66,8.628550320090637e-09,3835066600000.0,3.0219637600884728e-05,0.0557787687728919,0.5
67,1.3273676227965792e-08,3836116500000.0,1.9638892364300584e-05,0.0464268138333889,0.5
68,8.938522184380242e-09,3882912000000.0,2.881221981945088e-05,0.0982244669849691,0.5
69,8.976872173331082e-09,3947048000000.0,2.822295954869296e-05,0.0633043030085081,0.5
70,9.064377381410205e-09,4177344300000.0,2.640959509158681e-05,0.0634560020485429,0.5
71,8.873734453330445e-09,4759459000000.0,2.367750622827077e-05,0.135965169870982,0.5
