Frame,Person,Keypoint_Index,Keypoint_X,Keypoint_Y
0,0,0,703.24225,288.2411
0,0,1,0.0,0.0
0,0,2,698.0866,268.65952
0,0,3,0.0,0.0
0,0,4,656.1827,251.73601
0,0,5,627.2494,336.1745
0,0,6,566.60986,334.1294
0,0,7,0.0,0.0
0,0,8,545.4897,480.3707
0,0,9,0.0,0.0
0,0,10,570.6745,604.66833
0,0,11,600.7343,553.45557
0,0,12,549.33716,559.53
0,0,13,639.8378,734.48975
0,0,14,559.5577,747.86395
0,0,15,621.51886,919.17084
0,0,16,554.5567,954.5929
1,0,0,713.2464,280.3788
1,0,1,0.0,0.0
1,0,2,705.3049,261.73846
1,0,3,0.0,0.0
1,0,4,653.09766,252.39406
1,0,5,634.5765,346.23102
1,0,6,572.5998,338.86093
1,0,7,618.8053,476.95435
1,0,8,545.60895,480.91296
1,0,9,643.5949,584.8605
1,0,10,567.62665,612.46106
1,0,11,606.5667,572.5307
1,0,12,555.77673,576.0162
1,0,13,638.9537,742.7175
1,0,14,554.5404,755.2689
1,0,15,620.7475,921.99774
1,0,16,552.5718,956.46075
2,0,0,708.7418,289.0022
2,0,1,0.0,0.0
2,0,2,703.2311,270.06967
2,0,3,0.0,0.0
2,0,4,657.5289,255.52827
2,0,5,635.7193,345.98227
2,0,6,572.0418,339.38297
2,0,7,617.5705,474.50766
2,0,8,546.78827,481.7515
2,0,9,641.9568,580.79755
2,0,10,564.59436,608.86865
2,0,11,605.66327,569.5102
2,0,12,553.92847,573.25104
2,0,13,635.8015,740.7981
2,0,14,557.40643,753.139
2,0,15,616.86096,916.69135
2,0,16,549.53687,954.8282
3,0,0,693.67413,298.70828
3,0,1,0.0,0.0
3,0,2,689.20605,279.42017
3,0,3,0.0,0.0
3,0,4,650.42426,260.85974
3,0,5,632.6616,349.22095
3,0,6,571.96814,341.72043
3,0,7,617.613,478.54596
3,0,8,547.0175,482.57108
3,0,9,642.3097,586.478
3,0,10,567.14355,609.1923
3,0,11,606.00604,566.73706
3,0,12,557.95557,570.1286
3,0,13,628.50836,739.2283
3,0,14,558.4382,751.68713
3,0,15,613.3013,919.2951
3,0,16,547.3004,953.03577
4,0,0,693.60205,298.76898
4,0,1,0.0,0.0
4,0,2,689.149,279.48285
4,0,3,0.0,0.0
4,0,4,650.3966,260.8737
4,0,5,632.9166,349.1807
4,0,6,571.79645,341.63208
4,0,7,617.81323,478.47794
4,0,8,547.08826,482.58228
4,0,9,642.3153,586.48987
4,0,10,567.20435,609.17773
4,0,11,606.19446,566.4254
4,0,12,557.87164,569.7973
4,0,13,628.5207,739.0379
4,0,14,558.5575,751.50055
4,0,15,613.3226,919.22864
4,0,16,547.33264,952.9724
5,0,0,689.6944,308.04056
5,0,1,0.0,0.0
5,0,2,688.12775,289.05676
5,0,3,0.0,0.0
5,0,4,657.64984,265.0189
5,0,5,638.64526,346.5218
5,0,6,574.266,339.6323
5,0,7,628.4301,479.46326
5,0,8,549.94104,482.8376
5,0,9,649.8972,588.6345
5,0,10,574.6876,608.5371
5,0,11,607.2985,567.9288
5,0,12,558.25696,571.24915
5,0,13,620.4728,742.50476
5,0,14,561.19293,756.97614
5,0,15,609.0878,920.83307
5,0,16,547.55145,958.90704
6,0,0,690.6268,312.20462
6,0,1,0.0,0.0
6,0,2,686.9293,292.58286
6,0,3,0.0,0.0
6,0,4,650.3658,266.3445
6,0,5,648.66174,350.58182
6,0,6,575.0345,338.17694
6,0,7,638.5262,483.40762
6,0,8,554.096,484.0926
6,0,9,656.21704,590.91345
6,0,10,580.9037,602.6034
6,0,11,604.4121,562.6
6,0,12,550.61835,563.17694
6,0,13,614.8274,740.2357
6,0,14,560.9197,758.11127
6,0,15,607.5954,922.29236
6,0,16,546.2626,959.23517
7,0,0,694.3326,315.90582
7,0,1,0.0,0.0
7,0,2,690.79016,295.6497
7,0,3,0.0,0.0
7,0,4,654.88385,266.31976
7,0,5,649.5073,351.1247
7,0,6,576.93805,336.7647
7,0,7,640.8779,482.1079
7,0,8,554.03516,481.50165
7,0,9,670.3296,590.16974
7,0,10,591.384,603.87964
7,0,11,604.3281,573.6982
7,0,12,552.21405,573.53125
7,0,13,609.4946,748.7007
7,0,14,560.9574,761.8689
7,0,15,608.799,922.9858
7,0,16,552.6691,961.04736
8,0,0,696.7418,315.55014
8,0,1,0.0,0.0
8,0,2,693.23425,295.76816
8,0,3,0.0,0.0
8,0,4,656.2433,266.9347
8,0,5,654.60223,347.4776
8,0,6,578.2882,338.49454
8,0,7,650.9493,473.751
8,0,8,557.6838,484.26562
8,0,9,681.9139,587.732
8,0,10,598.2789,603.74524
8,0,11,600.5565,566.04694
8,0,12,546.58344,567.81573
8,0,13,611.676,742.56104
8,0,14,567.68243,761.3423
8,0,15,606.14795,921.6702
8,0,16,553.1219,959.12164
9,0,0,698.73346,317.0212
