Frame,Smoothness,MSJ,Var
3,0.9999999999999942,193262520000.0,2.954730741180254e-26
4,7.334319990332511e-08,126965810000.0,0.00010738740044642753
5,8.580561551081964e-08,108532834000.0,0.00010737992767469335
6,5.1865135663746983e-08,99131130000.0,0.00019449767005007434
7,1.1520043931998615e-07,106558276000.0,8.146266823903015e-05
8,1.357243461736984e-07,105314190000.0,6.99608848760429e-05
9,1.6342723713012606e-07,98299540000.0,6.224779744911137e-05
10,1.6457061437679578e-07,110847220000.0,5.481795443007879e-05
11,1.5658095103122298e-07,134239790000.0,4.757510379185555e-05
12,1.4036881824955378e-07,193257960000.0,3.6863103582916674e-05
13,1.314959963126198e-07,250193530000.0,3.0395643617087363e-05
14,1.4707559348698462e-07,230632700000.0,2.9480744005657097e-05
15,1.3067028098456564e-07,234547660000.0,3.2628117384880265e-05
16,1.2141197550987004e-07,225286550000.0,3.655974436217986e-05
17,1.2511394392035315e-07,298680400000.0,2.6760087429601896e-05
18,1.2818060496905497e-07,376730350000.0,2.0708422358995077e-05
19,1.0681332656380895e-07,415671800000.0,2.2522880782818756e-05
20,1.1002808359854374e-07,397467840000.0,2.2866221376266098e-05
21,1.1059290589787142e-07,390393660000.0,2.316167305804922e-05
22,9.698112922636933e-08,409019120000.0,2.5209783121306032e-05
23,1.2242183337690498e-07,475021500000.0,1.719601412111568e-05
24,1.2025891796142735e-07,474854160000.0,1.7511462021655603e-05
25,1.1166966683942081e-07,486131560000.0,1.8420902772488404e-05
26,1.0405436873984678e-07,514558500000.0,1.8676903953761425e-05
27,1.0813925767620777e-07,498028350000.0,1.8567887914868296e-05
28,1.08965260863562e-07,506069550000.0,1.8134337067920063e-05
29,1.1345829888415421e-07,532144950000.0,1.656279933159035e-05
30,1.1264541953745855e-07,537892360000.0,1.650406941546491e-05
31,1.1165587732903427e-07,537945150000.0,1.664870164517627e-05
32,1.0809926291597198e-07,536809930000.0,1.7232832980044496e-05
33,1.0310064199443938e-07,538199460000.0,1.8021682316243273e-05
34,1.0481113191036806e-07,551779100000.0,1.7291285893299287e-05
35,1.1969541941108526e-07,565279460000.0,1.4779482038650446e-05
36,1.2557273387622567e-07,591455850000.0,1.3464253101428638e-05
37,1.552216049360948e-07,613722000000.0,1.049726231980801e-05
38,1.5595819743531937e-07,605850570000.0,1.0583424278092934e-05
