Frame,Smoothness,MSJ,Var
3,0.9999999999999982,89904590000.0,1.938704560671159e-26
4,8.817207878973181e-08,105541590000.0,0.0001074596062146794
5,1.0775522944068591e-07,86049340000.0,0.00010784848440237563
6,4.730988912012444e-08,220664090000.0,9.578916611125176e-05
7,2.7499680997982907e-09,595844860000.0,0.0006102940658114541
8,1.885764531478024e-08,673426240000.0,7.874491015944253e-05
9,2.05341875474037e-08,681604800000.0,7.144795800246063e-05
10,2.4218495517044172e-08,645377300000.0,6.397925029779817e-05
11,2.975518006134921e-08,582161300000.0,5.7729008160727935e-05
12,3.376217647404759e-08,551430500000.0,5.3712918413861255e-05
13,2.1584487219191655e-09,525185880000.0,0.0008821556611774043
14,5.28065408850932e-08,496863150000.0,3.811320482767168e-05
15,6.729830408534536e-08,464184180000.0,3.201146240929263e-05
16,6.914510612985137e-08,434765820000.0,3.326466273851033e-05
17,6.645952336208727e-08,413260120000.0,3.640988031519517e-05
18,8.542400282661115e-08,394509680000.0,2.967306312258466e-05
19,1.0420973527998645e-07,382831920000.0,2.5065912632047216e-05
20,1.1332684398471314e-07,369532530000.0,2.3878908718975384e-05
21,1.2111279241306652e-07,350881480000.0,2.3531493011242188e-05
22,1.2158427531877233e-07,336675500000.0,2.4429299700758303e-05
23,1.1809720562386024e-07,326976270000.0,2.5896679737759403e-05
24,1.821457815498373e-07,318847900000.0,1.721857588327955e-05
25,8.83532114891308e-08,313092670000.0,3.614970205509601e-05
26,1.514511191433421e-07,305290670000.0,2.1627877914092692e-05
27,1.6531867437290057e-07,297078300000.0,2.036137464767495e-05
28,1.746644497480566e-07,285900500000.0,2.002536688276242e-05
29,1.8042600091317558e-07,280198100000.0,1.978042565998664e-05
30,1.8527509989920243e-07,282565500000.0,1.9101334682257787e-05
31,1.9601707614785467e-07,283321400000.0,1.800638894453394e-05
32,2.0524708143093853e-07,294692030000.0,1.653310913381645e-05
33,2.5357934958803176e-07,275647230000.0,1.4306466008729436e-05
34,3.909613786200926e-07,199102940000.0,1.2846602952689503e-05
35,4.86262579674032e-07,161493580000.0,1.2734258806773403e-05
36,5.421145627002009e-07,134713880000.0,1.3692929033754124e-05
37,5.691833546170736e-07,120996635000.0,1.452025591552014e-05
38,5.57116084675675e-07,118792405000.0,1.5110032062859862e-05
39,4.783864582115408e-07,127872130000.0,1.6347261568417738e-05
40,4.651240388521609e-07,151548790000.0,1.4186607157577302e-05
41,5.557337935945031e-07,149424600000.0,1.204233878628583e-05
42,5.434567256247186e-07,152330490000.0,1.2079472493202559e-05
43,5.596579301026841e-07,152685840000.0,1.170249157354346e-05
44,5.908260592818615e-07,148588500000.0,1.1390818126106833e-05
45,4.787529945359985e-07,144892900000.0,1.4415880499306922e-05
46,4.133439415143794e-07,138685560000.0,1.744443832099222e-05
47,5.121137052103313e-07,140620560000.0,1.3886236205999834e-05
48,4.994239081491274e-07,156891710000.0,1.2762344375414147e-05
49,5.210096919100912e-07,158749820000.0,1.2090401773988197e-05
50,4.890170198143471e-07,162521240000.0,1.2582464040550966e-05
51,3.767531527787597e-07,172085770000.0,1.542403407018381e-05
52,3.8287684667196415e-07,169086680000.0,1.544654413121722e-05
53,3.7123397061396164e-07,165118840000.0,1.6313814056654674e-05
54,3.8840526144042673e-07,162302950000.0,1.5863109042845896e-05
55,3.714903883806068e-07,164469880000.0,1.6366879080083973e-05
56,3.9466057796638316e-07,160845330000.0,1.5753157615093716e-05
57,4.370968788939565e-07,159349180000.0,1.4357283505594973e-05
58,4.421110790690023e-07,157573270000.0,1.4354427266584965e-05
59,4.357392541032948e-07,145294180000.0,1.5795191869806796e-05
60,3.837333882706377e-07,143359660000.0,1.8177882629398147e-05
61,3.305930884921445e-07,144478420000.0,2.0936452687733227e-05
62,3.2849062817876895e-07,143340830000.0,2.1237674320104383e-05
63,3.3977980255937184e-07,144382050000.0,2.038398485808909e-05
64,3.1225055067975394e-07,146229940000.0,2.1900819260787422e-05
65,3.965382427555608e-07,148929480000.0,1.6933006725639575e-05
66,3.7230090220746384e-07,176006120000.0,1.5260823935713195e-05
67,2.7735203884170375e-07,218304200000.0,1.6516058942224036e-05
68,2.283452106963063e-07,216839100000.0,2.019623470496038e-05
69,2.1613851506357066e-07,215665260000.0,2.1452975866969244e-05
70,2.1574625364363778e-07,216754880000.0,2.1383941530274584e-05
71,2.077167109124447e-07,218717780000.0,2.2011233429103676e-05
72,2.2831675945414367e-07,219294600000.0,1.9972580358744516e-05
73,2.1709302023138816e-07,225622650000.0,2.041603208954905e-05
74,2.1207620379992187e-07,230197280000.0,2.0483670344929895e-05
75,2.512415491125176e-07,218644450000.0,1.8204132002944458e-05
76,2.2997097971918345e-07,226773520000.0,1.9174962821496484e-05
77,2.1094873992847469e-07,229104100000.0,2.0691410522329437e-05
78,2.31265630856057e-07,222011400000.0,1.9476617895792513e-05
79,2.0402461322846977e-07,230968970000.0,2.1220895945854047e-05
80,1.912963446977893e-07,232537540000.0,2.2480200183218216e-05
81,1.800085244516662e-07,234886350000.0,2.365097629571064e-05
82,1.738149349194695e-07,235978010000.0,2.438042608309144e-05
83,1.708267257181978e-07,240009630000.0,2.4390204945924515e-05
84,1.8389295464568634e-07,238199800000.0,2.2829344262394577e-05
85,1.535561988878623e-07,245858570000.0,2.648788216539114e-05
86,1.9669768369294288e-07,246155560000.0,2.065337454740784e-05
87,1.5004470452932076e-07,246946400000.0,2.6988364434671768e-05
88,2.1131824068344548e-07,251740980000.0,1.879788570794637e-05
89,2.495790771848899e-07,255619450000.0,1.5674648942945512e-05
90,2.7682096995027243e-07,254700620000.0,1.4183091199357637e-05
91,2.8787027631402105e-07,252452980000.0,1.3760130445912407e-05
92,2.783962999754759e-07,250779630000.0,1.4323335347003965e-05
93,2.7783657496520857e-07,216279910000.0,1.6641569608277343e-05
94,2.8483517956925763e-07,152216550000.0,2.306451732537251e-05
95,5.629139781748987e-07,152181390000.0,1.167336787133488e-05
96,5.530783167069808e-07,150398400000.0,1.202181122073191e-05
97,5.542865256855121e-07,148074320000.0,1.2183882538269475e-05
98,4.098250350125154e-07,147391180000.0,1.655502447475933e-05
99,5.782732379238913e-07,149989130000.0,1.1529404284077794e-05
100,6.109077956761625e-07,145657720000.0,1.12380392680337e-05
101,6.547779378069096e-07,139201460000.0,1.0971395739600693e-05
102,6.541930267362442e-07,137342380000.0,1.1129848243925512e-05
103,6.144618561627194e-07,131570704000.0,1.2369313730669773e-05
104,5.144513455233491e-07,141923860000.0,1.3696198865171889e-05
105,6.187354414441841e-07,139334800000.0,1.1599390092237973e-05
106,6.524129917484868e-07,127807860000.0,1.1992771641843683e-05
107,6.124111091638138e-07,129747616000.0,1.2585117882564821e-05
108,6.180885144286113e-07,127879560000.0,1.2651671900327557e-05
109,5.613269212187575e-07,127832060000.0,1.3936190798678221e-05
110,4.92081223843743e-07,139485630000.0,1.4569127203469506e-05
111,4.883830904418932e-07,160706450000.0,1.2741069191865401e-05
112,5.589559399675142e-07,152296050000.0,1.1747178061929985e-05
113,5.74303193845301e-07,168557230000.0,1.03302570417221e-05
114,5.927602857118645e-07,170897310000.0,9.871551551845221e-06
115,4.4401522001799405e-07,164110010000.0,1.3723563067719426e-05
116,4.657906486862506e-07,161443610000.0,1.3298056400773724e-05
117,4.5969907544962653e-07,172789170000.0,1.2589533886403265e-05
118,4.678244310637579e-07,184478940000.0,1.1586975839394114e-05
119,4.4816989713974283e-07,187335750000.0,1.1910677100580053e-05
120,4.1590794683273983e-07,177811310000.0,1.3522071336824846e-05
121,5.50915113772717e-07,167522140000.0,1.0835347924748652e-05
122,4.614601024733368e-07,169208380000.0,1.280689267852164e-05
123,5.038194817903215e-07,173318900000.0,1.1451935838236556e-05
124,5.094599290049419e-07,173808350000.0,1.129325418118616e-05
125,4.463685663794394e-07,173123630000.0,1.2940463881333585e-05
126,4.3110973861918823e-07,172563170000.0,1.3441999374735402e-05
