Frame,Person,Keypoint_Index,Keypoint_X,Keypoint_Y
0,0,0,961.8608,416.72537
0,0,1,968.8721,411.03177
0,0,2,956.8902,411.26114
0,0,3,979.83527,416.17587
0,0,4,950.01843,416.78406
0,0,5,994.28595,457.18716
0,0,6,936.4067,455.24762
0,0,7,1004.2799,506.7337
0,0,8,920.64264,502.57144
0,0,9,1004.16925,551.3261
0,0,10,917.10736,548.9702
0,0,11,978.2947,548.24304
0,0,12,942.08044,546.5376
0,0,13,972.81757,618.13354
0,0,14,943.5658,614.5757
0,0,15,966.0354,685.65515
0,0,16,944.5599,679.0414
1,0,0,962.27216,416.50116
1,0,1,969.16907,410.75046
1,0,2,957.0995,411.04425
1,0,3,979.9085,415.76303
1,0,4,950.0038,416.50662
1,0,5,994.2778,456.74078
1,0,6,936.76013,455.23544
1,0,7,1003.8996,505.50714
1,0,8,920.71234,502.42648
1,0,9,1004.9791,549.72815
1,0,10,917.0801,548.91797
1,0,11,979.06995,548.0369
1,0,12,943.10156,546.6773
1,0,13,973.2658,618.2728
1,0,14,944.495,615.6539
1,0,15,965.4099,686.0147
1,0,16,943.0569,681.829
2,0,0,962.5282,416.37125
2,0,1,969.5849,410.63638
2,0,2,957.12634,410.85425
2,0,3,980.174,415.8223
2,0,4,949.8996,416.3865
2,0,5,994.9065,456.47858
2,0,6,936.7608,455.61063
2,0,7,1005.64,505.43878
2,0,8,920.3302,503.76978
2,0,9,1006.1845,549.9942
2,0,10,916.7512,550.1973
2,0,11,980.23425,549.4098
2,0,12,943.9448,548.88245
2,0,13,972.9861,621.98346
2,0,14,945.7112,619.354
2,0,15,964.56946,688.9409
2,0,16,944.41064,689.02606
3,0,0,962.11676,416.63516
3,0,1,969.12964,410.92493
3,0,2,956.6347,411.06668
3,0,3,979.7027,416.13495
3,0,4,949.35095,416.59225
3,0,5,994.81116,456.99197
3,0,6,936.24097,456.14502
3,0,7,1006.3506,505.5108
3,0,8,920.14386,504.36163
3,0,9,1007.5242,548.0839
3,0,10,916.6829,550.1965
3,0,11,980.5977,550.1849
3,0,12,943.9717,549.94464
3,0,13,974.06744,623.21497
3,0,14,945.839,621.63525
3,0,15,965.99695,689.29596
3,0,16,945.2361,693.8866
4,0,0,962.12225,416.6369
4,0,1,969.1319,410.9283
4,0,2,956.64056,411.06815
4,0,3,979.69794,416.13852
4,0,4,949.35486,416.59195
4,0,5,994.8164,457.0013
4,0,6,936.2368,456.15036
4,0,7,1006.3517,505.50137
4,0,8,920.1411,504.3592
4,0,9,1007.5304,548.07
4,0,10,916.6873,550.2014
4,0,11,980.6117,550.2169
4,0,12,943.97534,549.9763
4,0,13,974.1262,623.2956
4,0,14,945.8575,621.70294
4,0,15,966.02454,689.3338
4,0,16,945.23425,693.9515
5,0,0,962.11395,417.34537
5,0,1,968.96967,411.54294
5,0,2,956.591,411.76633
5,0,3,979.771,416.58493
5,0,4,949.2819,417.24838
5,0,5,994.3243,457.9978
5,0,6,935.7501,456.45862
5,0,7,1005.18823,506.9338
5,0,8,919.89404,504.5797
5,0,9,1007.80225,548.4487
5,0,10,915.7797,549.3893
5,0,11,979.51215,550.9433
5,0,12,943.10785,550.3252
5,0,13,975.12744,621.93695
5,0,14,947.1704,622.12225
5,0,15,966.2361,686.8023
5,0,16,947.91675,693.6478
6,0,0,961.45886,417.14294
6,0,1,968.6109,411.4251
6,0,2,955.97577,411.52185
6,0,3,979.56006,416.86688
6,0,4,948.8756,417.2399
6,0,5,994.9411,458.33597
6,0,6,935.4934,457.48343
6,0,7,1006.55554,507.11298
6,0,8,919.69635,506.312
6,0,9,1007.68695,548.83905
6,0,10,914.53217,550.23553
6,0,11,980.561,552.5137
6,0,12,943.6059,552.4799
6,0,13,974.52893,625.0133
6,0,14,948.1266,624.0177
6,0,15,965.2011,687.2417
6,0,16,950.3507,695.02203
7,0,0,961.451,417.3968
7,0,1,968.4037,411.58917
7,0,2,955.92725,411.7737
7,0,3,979.303,416.97147
7,0,4,948.6612,417.5542
7,0,5,994.436,458.90573
7,0,6,934.83405,457.64575
7,0,7,1005.8483,508.14948
7,0,8,919.32294,506.57117
7,0,9,1007.10297,549.98175
7,0,10,914.8497,551.13074
7,0,11,979.9228,552.3034
7,0,12,943.1893,551.8184
7,0,13,974.8376,623.2255
7,0,14,949.50916,623.49774
7,0,15,964.864,687.366
7,0,16,951.4221,694.5746
8,0,0,960.14655,417.03198
8,0,1,966.95856,411.1205
8,0,2,954.65393,411.4588
8,0,3,978.3337,416.2179
8,0,4,947.9477,417.29288
8,0,5,994.41064,458.51578
8,0,6,934.11053,457.84332
8,0,7,1005.80023,507.23175
8,0,8,918.1201,506.7647
8,0,9,1007.15594,549.7964
8,0,10,914.64264,550.5683
8,0,11,979.84393,552.5039
8,0,12,942.57935,552.3705
8,0,13,975.8482,623.8482
8,0,14,949.4238,624.5094
8,0,15,964.4854,687.2523
8,0,16,951.42645,696.4875
9,0,0,960.14685,417.03232
9,0,1,966.9586,411.12088
9,0,2,954.6541,411.45917
9,0,3,978.334,416.21777
9,0,4,947.9478,417.2929
9,0,5,994.4111,458.51596
9,0,6,934.11053,457.84354
9,0,7,1005.80005,507.23227
9,0,8,918.1196,506.76553
9,0,9,1007.15607,549.79614
9,0,10,914.64166,550.56903
9,0,11,979.84534,552.50366
9,0,12,942.5797,552.37024
9,0,13,975.8491,623.8471
9,0,14,949.42255,624.507
9,0,15,964.4918,687.24927
9,0,16,951.42413,696.4854
10,0,0,958.9386,415.90567
10,0,1,965.7904,410.091
10,0,2,953.46,410.30548
10,0,3,977.06836,415.48947
10,0,4,946.7471,416.272
10,0,5,993.54364,457.888
10,0,6,933.258,457.24506
10,0,7,1004.716,507.59097
10,0,8,917.8664,507.03177
10,0,9,1005.657,551.7914
10,0,10,914.975,551.0431
10,0,11,980.1537,552.6245
10,0,12,942.8258,552.6607
10,0,13,976.242,624.5565
10,0,14,949.6829,625.981
10,0,15,965.37476,687.1613
10,0,16,951.7161,698.8425
11,0,0,960.4083,412.15567
11,0,1,966.8042,406.15735
11,0,2,954.341,406.44296
11,0,3,976.8849,411.41678
11,0,4,946.5694,412.38202
11,0,5,993.38824,455.02972
11,0,6,931.79614,454.7324
11,0,7,1004.6719,505.67783
11,0,8,917.5302,506.27573
11,0,9,1005.70605,550.5973
11,0,10,914.4304,551.3183
11,0,11,980.6512,551.79144
11,0,12,942.5664,551.9918
11,0,13,977.3617,625.2548
11,0,14,950.97894,625.92975
11,0,15,964.0339,686.0856
11,0,16,952.56305,698.57196
12,0,0,957.2664,410.445
12,0,1,963.55115,403.8328
12,0,2,949.69653,404.83798
12,0,3,974.06165,408.7728
12,0,4,941.05005,411.47855
12,0,5,992.7413,453.21252
12,0,6,930.41205,454.7884
12,0,7,1003.9944,503.6211
12,0,8,916.39124,507.38956
12,0,9,1004.864,549.89
12,0,10,913.4255,555.2159
12,0,11,980.3657,552.45593
12,0,12,941.74347,553.3257
12,0,13,980.0578,626.9782
12,0,14,950.60693,627.73224
12,0,15,962.5655,680.8475
12,0,16,952.15375,699.4687
13,0,0,958.9545,409.66638
13,0,1,965.00745,403.22287
13,0,2,951.393,403.8004
13,0,3,974.406,408.1401
13,0,4,941.7179,409.8045
13,0,5,992.69073,452.53098
13,0,6,929.9401,453.07782
13,0,7,1004.59735,503.60342
13,0,8,916.6051,505.98114
13,0,9,1005.0711,550.36096
13,0,10,913.4491,553.5912
13,0,11,980.3857,551.78613
13,0,12,941.5242,552.20154
