Frame,Smoothness,MSJ,Var
3,0.9999999999999998,5203293700.0,4.6068012538348756e-26
4,2.8934422375004066e-06,3217330000.0,0.0001074207867361577
5,7.111177438579936e-06,2545039400.0,5.525363991251942e-05
6,3.4009361517851524e-06,3085226500.0,9.530440884746995e-05
7,3.1823572852413296e-06,3374972400.0,9.310638261845547e-05
8,4.356382783252132e-06,3618780400.0,6.343221015377531e-05
9,5.138930116235269e-06,3582686000.0,5.431456623772612e-05
10,6.516674318515624e-06,3137084400.0,4.891532547097348e-05
11,6.309196774099155e-06,2944132900.0,5.383513199737759e-05
12,5.096403630524694e-06,3726894600.0,5.2648604038381794e-05
13,3.187912018563534e-06,9077044000.0,3.4557939270943705e-05
14,1.6130419721629476e-07,11475033000.0,0.0005402568914040187
15,2.004722473186438e-06,11838946000.0,4.2133915472445475e-05
16,2.0712146751275646e-06,11562423000.0,4.175659922402495e-05
17,2.166385815037833e-06,11434591000.0,4.036849995871064e-05
18,1.654940382538876e-06,11813527000.0,5.1149025868384706e-05
19,1.4658328296465601e-06,11666117000.0,5.847747421792165e-05
20,1.6332530868266942e-06,11649859000.0,5.2556344456064606e-05
21,1.5468898096914353e-06,11261357000.0,5.740493388978208e-05
22,3.3377736495305917e-06,10766333000.0,2.782747897363488e-05
23,2.7621407252541696e-06,10280984000.0,3.52142412216196e-05
24,2.53282142315041e-06,10360099000.0,3.810925258889019e-05
25,6.788581829940951e-07,10433394000.0,0.00014118711164314875
26,4.152204120670289e-07,10644996000.0,0.00022624324335027973
27,4.406144404538336e-06,10521966000.0,2.156961949003988e-05
28,4.726346004779736e-06,10375517000.0,2.03921342308186e-05
29,5.581610869220655e-07,10090023000.0,0.0001775611910323347
30,3.4518566582417217e-06,10527815000.0,2.7517407638877295e-05
31,9.995837186843774e-07,11517989000.0,8.685678259377103e-05
32,1.326454089227392e-06,12273694000.0,6.142312671603399e-05
33,4.876431980322849e-06,13058491000.0,1.5703725828569603e-05
34,4.248756941994184e-06,13016791000.0,1.8081411684246543e-05
35,4.565437765790609e-06,13732699000.0,1.594996317994113e-05
36,4.405301237314455e-06,15184711000.0,1.4949131247049697e-05
37,1.789856482905985e-06,15285999000.0,3.6549984602482206e-05
38,4.144056337343979e-06,19231070000.0,1.2547843573978881e-05
39,9.62378853383225e-07,39727534000.0,2.6155432246039566e-05
40,1.0901648985690146e-06,42293400000.0,2.168876069420614e-05
41,1.0593557503661139e-06,41213930000.0,2.290412295512121e-05
42,4.1304572243918103e-07,40796144000.0,5.934478759063523e-05
43,5.710093428265969e-07,40984752000.0,4.273013106776496e-05
44,2.6412400654133837e-07,41532633000.0,9.115962780815719e-05
45,1.0913422409470431e-07,42083496000.0,0.00021773446440044909
46,3.667630933067119e-07,44171680000.0,6.172630477907238e-05
47,1.0686797313301552e-07,45116584000.0,0.00020740354345577956
48,8.802185760077208e-07,46393504000.0,2.448792099526123e-05
49,1.2621415173230333e-06,47474328000.0,1.668908694262888e-05
50,1.2682305332335055e-06,48055976000.0,1.6407931827337775e-05
51,1.2102853504191363e-06,48465613000.0,1.7048178719559005e-05
52,1.1069677790910766e-06,49814475000.0,1.8134641892045796e-05
53,1.1328959235974989e-06,50987070000.0,1.7312087677656533e-05
54,1.3195452464326859e-06,51060260000.0,1.4841989197331998e-05
55,1.4016851884831551e-06,51427013000.0,1.3872591888071914e-05
56,1.3979970945296142e-06,52426010000.0,1.3644144583515665e-05
57,1.3748561703247412e-06,52832092000.0,1.3767158950069133e-05
58,1.308255179740011e-06,52892303000.0,1.4451551962430471e-05
59,1.236347769349795e-06,52184228000.0,1.549956650032252e-05
60,1.1439136409512137e-06,51536073000.0,1.6962698549731878e-05
61,1.0903661343722658e-06,51740934000.0,1.7725271940625296e-05
62,1.2049053551743939e-06,51278870000.0,1.6184828754175254e-05
63,1.4397550023309925e-06,49991864000.0,1.3893492968893106e-05
64,2.0403491258494626e-06,50069017000.0,9.788712343201134e-06
65,1.5979345015162046e-06,47822975000.0,1.3085904391746355e-05
66,2.239348006916e-06,27184570000.0,1.642687540910017e-05
67,2.4179721679539407e-06,22534935000.0,1.8352335992605513e-05
68,2.780721429543923e-06,22287784000.0,1.6135202477466302e-05
69,2.868508834725737e-06,22579171000.0,1.5439547340391115e-05
70,2.1539022759061136e-06,23495430000.0,1.9760124160975525e-05
71,3.4567243208877735e-06,23513608000.0,1.2303097797535353e-05
72,3.8859600739560936e-06,22650028000.0,1.1361383886830493e-05
73,4.426734676882708e-06,20924400000.0,1.079596776630777e-05
74,3.1571804528873605e-06,19761625000.0,1.6027897921796562e-05
75,3.901896982052421e-06,18748768000.0,1.3669409859198952e-05
